time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,sum_pos_s,sum_neg_s,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,label
1546387200.0,18,46,24,23.7948,-16.2574,102.143,-16.757100000000005,15.6643,53,198,84,77.25180000000002,LTC,32.18,33.56,33.98,32.83,-1
1546473600.0,16,29,12,13.155300000000002,-14.62,54.18879999999998,-12.103799999999998,5.8453,43,132,67,34.774999999999984,LTC,33.56,31.96,32.62,31.48,1
1546560000.0,21,33,30,16.0338,-17.997399999999992,56.0753,-18.54,7.035099999999999,63,121,135,28.5366,LTC,31.96,32.49,33.2,32.04,1
1546646400.0,22,65,67,34.174,-20.2722,145.16709999999986,-37.71,24.0121,103,275,350,97.21779999999987,LTC,32.44,34.94,36.61,32.43,1
1546732800.0,37,76,68,38.89959999999999,-39.35,229.6342,-97.58249999999997,19.156299999999987,213,469,399,112.05360000000002,LTC,34.94,39.45,40.63,34.61,-1
1546819200.0,17,37,36,20.351,-13.3486,145.20489999999995,-32.5018,13.711300000000005,110,278,227,106.24520000000004,LTC,39.42,38.04,39.51,37.65,1
1546905600.0,36,78,59,41.7602,-27.88639999999999,291.56670000000014,-60.7287,27.81700000000001,204,534,441,216.8948000000001,LTC,38.04,39.56,40.69,37.95,-1
1546992000.0,28,74,53,37.114,-23.4154,210.8054999999999,-45.57120000000001,25.397000000000013,131,416,280,153.4894,LTC,39.56,38.95,40.26,38.89,-1
1547078400.0,53,75,56,38.52840000000001,-51.6366,178.06260000000003,-92.98669999999998,12.684499999999995,247,343,240,58.98599999999998,LTC,38.95,33.57,35.65,32.7,-1
1547164800.0,18,32,32,17.0737,-13.341799999999996,87.54909999999998,-24.7173,10.377,84,168,165,55.85129999999997,LTC,33.57,32.05,33.79,31.83,1
1547251200.0,15,22,25,14.431800000000004,-13.619799999999994,69.26359999999997,-27.9253,7.621099999999998,75,105,135,34.5526,LTC,32.05,32.37,32.57,31.81,-1
1547337600.0,27,39,44,17.140199999999997,-25.4486,77.83429999999996,-49.6266,4.4159000000000015,125,177,185,15.483399999999996,LTC,32.37,30.22,32.18,29.99,1
1547424000.0,26,42,43,22.2048,-23.811799999999995,87.03579999999994,-33.831,10.2989,101,163,199,41.29890000000001,LTC,30.22,32.39,32.9,31.46,-1
1547510400.0,15,17,16,8.478800000000001,-14.655599999999994,33.034000000000006,-29.1646,1.1509999999999994,78,58,92,-3.458399999999985,LTC,32.39,31.33,32.14,30.87,1
1547596800.0,9,13,13,7.250300000000001,-8.4494,37.98300000000001,-24.1501,3.0256000000000003,48,72,75,9.608199999999998,LTC,31.33,31.72,31.94,31.26,1
1547683200.0,9,13,22,5.757999999999999,-6.528200000000001,34.0827,-12.5765,2.5068,37,71,141,18.3195,LTC,31.72,32.03,32.22,31.0,-1
1547769600.0,13,19,28,9.2902,-9.6276,31.0133,-13.0211,4.476400000000001,49,73,119,13.178399999999998,LTC,32.03,31.23,31.77,30.95,1
1547856000.0,7,20,23,7.520800000000001,-8.2672,28.23190000000001,-26.974,3.3872000000000004,59,74,107,-2.875700000000001,LTC,31.23,32.56,33.07,31.93,-1
1547942400.0,17,23,16,13.520299999999995,-17.2106,58.68280000000001,-26.3286,4.914999999999999,75,95,63,23.7489,LTC,32.56,30.86,32.05,30.67,1
1548028800.0,8,18,15,9.0385,-7.423800000000001,31.869100000000003,-16.806200000000004,5.326600000000001,37,64,72,11.350999999999999,LTC,30.86,31.2,31.35,30.87,1
1548115200.0,6,24,26,12.794000000000002,-4.9166,67.84859999999995,-4.7288999999999985,10.335700000000003,17,126,109,60.66139999999998,LTC,31.2,31.69,31.98,30.72,1
1548201600.0,8,15,15,7.9338000000000015,-8.1022,34.267799999999994,-22.0001,3.8827000000000007,47,68,76,8.216600000000001,LTC,31.69,31.87,32.09,31.38,1
1548288000.0,7,20,24,11.000899999999998,-7.032599999999999,42.913299999999964,-14.833799999999998,7.458800000000001,38,83,119,24.485800000000005,LTC,31.87,32.79,33.16,31.63,1
1548374400.0,4,21,16,10.884800000000002,-3.2281999999999997,59.66619999999998,-5.2788,9.2707,19,118,73,52.77329999999999,LTC,32.79,32.83,32.99,32.27,1
1548460800.0,14,19,15,10.857000000000001,-11.778200000000002,72.1702,-20.7798,4.587299999999999,59,127,66,45.72710000000002,LTC,32.83,33.1,33.63,32.86,-1
1548547200.0,13,13,16,6.5124,-10.0546,26.9457,-10.645799999999998,1.5108999999999997,42,53,82,11.350000000000005,LTC,33.1,32.35,33.04,32.06,-1
1548633600.0,21,37,24,19.049100000000006,-17.951599999999996,61.66260000000001,-40.17440000000001,10.0733,103,116,105,12.5124,LTC,32.35,31.11,31.57,30.42,-1
1548720000.0,5,27,23,14.398700000000002,-4.3035999999999985,67.4421,-8.953,12.2663,29,118,118,56.473099999999974,LTC,31.11,30.88,31.2,30.4,1
1548806400.0,13,28,26,11.8022,-11.3982,48.2122,-22.9571,6.1031,66,111,134,19.555999999999987,LTC,30.88,31.76,31.9,31.09,-1
1548892800.0,7,21,21,9.1167,-5.5013999999999985,64.67360000000001,-20.183,6.4047,61,141,148,41.77860000000001,LTC,31.76,31.39,31.91,31.14,1
1548979200.0,11,48,37,21.324500000000004,-11.3232,113.37779999999997,-21.864,15.693300000000004,54,238,171,85.9775,LTC,31.39,32.61,33.4,31.28,1
1549065600.0,6,48,41,24.142200000000006,-7.1662,100.9511999999999,-20.8516,20.5633,50,199,189,76.54879999999996,LTC,32.61,34.64,34.94,33.03,-1
1549152000.0,6,32,29,15.521700000000004,-5.7386,99.76729999999998,-14.6978,12.672600000000005,33,212,161,82.5032,LTC,34.54,33.26,34.9,32.83,1
1549238400.0,20,38,43,18.8842,-18.78499999999999,92.94619999999992,-44.72529999999999,9.5269,112,198,230,39.0396,LTC,33.37,33.8,34.08,33.1,1
1549324800.0,18,46,38,23.245000000000005,-18.2562,131.7283,-44.59329999999999,14.116899999999998,86,261,189,78.00690000000002,LTC,33.8,34.11,34.33,33.6,-1
1549411200.0,17,19,16,10.44,-15.017499999999995,47.90639999999999,-27.257500000000004,2.609,86,95,91,13.44720000000001,LTC,34.11,32.72,33.63,32.35,1
1549497600.0,5,14,21,6.3923,-4.7022,60.67559999999999,-5.1779,4.092799999999999,17,120,118,53.5594,LTC,32.72,33.02,33.14,32.49,1
1549584000.0,90,231,171,115.83939999999993,-80.9665999999999,609.1257999999998,-152.45239999999995,75.2089,435,1159,833,415.68460000000033,LTC,33.18,43.13,46.2,32.84,1
1549670400.0,35,100,78,50.96339999999998,-34.045000000000016,273.4322,-61.21050000000002,33.956500000000005,164,540,434,195.1272,LTC,43.13,44.61,46.0,42.34,1
1549756800.0,49,100,93,52.06369999999996,-43.69739999999997,286.46490000000017,-110.65749999999998,30.291900000000016,276,540,499,154.18990000000005,LTC,44.61,46.86,47.42,42.12,-1
1549843200.0,33,52,42,29.795500000000004,-27.833399999999987,147.8238,-74.6753,15.904600000000002,209,249,265,59.30919999999997,LTC,46.87,42.61,46.01,41.89,1
1549929600.0,31,76,54,37.713099999999976,-26.8216,175.6514999999999,-43.76149999999999,24.276499999999995,126,354,245,118.01479999999997,LTC,42.61,43.7,44.2,42.25,-1
1550016000.0,38,40,58,19.210800000000006,-33.51300000000001,102.38249999999996,-58.46870000000001,2.4405,168,216,218,27.143499999999975,LTC,43.7,41.61,44.03,40.85,-1
1550102400.0,27,48,46,26.343399999999992,-28.6964,119.18929999999986,-58.4994,12.042600000000002,127,203,166,46.43650000000003,LTC,41.61,41.23,42.02,40.66,1
1550188800.0,34,61,68,29.83449999999999,-29.4842,147.3273,-62.55620000000001,15.131099999999995,157,293,325,70.41599999999995,LTC,41.23,42.44,43.7,41.25,1
1550275200.0,14,25,42,11.019999999999998,-12.516799999999998,59.9771,-32.017399999999995,4.746000000000001,93,123,228,21.6545,LTC,42.44,43.37,44.09,42.39,1
1550361600.0,12,25,36,11.2681,-10.5616,76.688,-18.9358,5.8762000000000025,54,156,190,53.00099999999997,LTC,43.37,43.9,44.71,43.43,1
1550448000.0,48,116,110,59.04979999999998,-40.751399999999975,310.6744000000002,-73.45529999999997,38.734299999999976,225,579,493,217.25620000000012,LTC,43.9,48.01,49.1,46.21,-1
1550534400.0,22,57,68,30.021200000000004,-16.332999999999995,165.12859999999995,-27.3733,21.8764,96,288,346,129.77059999999986,LTC,48.01,47.4,48.78,47.17,1
1550620800.0,50,107,104,55.62880000000001,-46.32159999999996,329.2763999999998,-128.7646,32.468,312,613,629,177.35100000000025,LTC,47.4,51.54,52.1,47.49,-1
1550707200.0,22,70,60,39.8458,-21.632400000000004,203.3087,-47.64359999999999,29.003800000000005,109,360,344,144.6940999999999,LTC,51.54,48.9,51.14,48.27,1
1550793600.0,28,42,38,21.139699999999987,-22.43500000000001,132.5183,-65.8638,9.947999999999997,162,261,262,55.66919999999998,LTC,48.9,49.48,50.15,48.8,1
1550880000.0,47,60,73,29.3494,-39.1942,135.79099999999985,-109.9328,9.6878,298,286,422,6.0418,LTC,49.48,51.78,52.65,50.62,-1
1550966400.0,59,93,80,46.68209999999997,-52.57909999999998,235.87190000000007,-118.89400000000003,20.31690000000001,313,453,424,90.59389999999986,LTC,51.78,44.01,48.09,43.07,1
1551052800.0,15,40,40,21.679299999999994,-16.858999999999995,152.49480000000003,-43.588,13.3099,86,280,279,100.6782,LTC,44.01,45.61,46.72,44.53,-1
1551139200.0,29,51,32,27.287400000000005,-27.84020000000001,116.1772,-54.04380000000001,13.318799999999996,133,227,175,48.06779999999999,LTC,45.61,44.9,45.7,44.33,1
1551225600.0,26,38,62,19.2838,-20.686999999999994,98.80329999999996,-49.0378,8.940299999999997,146,202,311,39.422,LTC,44.9,45.32,45.51,44.28,1
1551312000.0,30,45,62,21.3838,-30.785200000000003,125.54069999999996,-65.8652,6.0678,155,271,295,44.52560000000001,LTC,45.32,45.77,46.19,45.15,1
1551398400.0,27,48,56,25.03720000000001,-26.59980000000001,144.51149999999984,-67.0184,11.7613,159,276,327,64.25439999999996,LTC,45.77,47.13,48.7,45.75,1
1551484800.0,31,65,78,34.3732,-29.95100000000001,150.02960000000004,-59.0913,19.4862,156,283,323,76.39420000000003,LTC,47.13,48.77,49.57,47.27,-1
1551571200.0,18,33,34,18.368,-19.0002,128.87159999999994,-44.6824,8.854999999999997,104,226,184,74.76649999999995,LTC,48.77,47.92,48.8,47.54,-1
1551657600.0,22,44,44,24.2129,-19.570800000000006,152.0584,-43.54919999999999,14.466799999999996,128,281,195,98.90970000000013,LTC,47.92,45.97,47.01,45.34,1
1551744000.0,65,124,93,67.32300000000001,-62.31519999999999,363.1446,-130.37039999999993,36.13959999999999,327,648,516,201.33280000000008,LTC,45.97,52.81,54.43,47.38,1
1551830400.0,40,111,87,63.869799999999984,-33.14200000000001,401.3113000000003,-75.79309999999995,47.256499999999974,226,706,542,309.0462000000004,LTC,52.81,55.57,56.5,52.04,1
1551916800.0,40,100,72,56.6506,-31.40039999999999,406.6941999999996,-63.396,40.94889999999999,195,691,545,327.8607999999997,LTC,55.85,57.24,59.67,54.32,-1
1552003200.0,42,59,53,30.4165,-32.30119999999998,204.65590000000003,-73.7081,14.2779,254,365,274,114.82119999999996,LTC,56.84,55.62,57.13,54.85,1
1552089600.0,28,56,34,30.937499999999996,-26.62730000000001,205.8157,-73.3061,17.236599999999992,168,389,193,119.6993,LTC,55.62,57.87,59.73,56.73,-1
1552176000.0,28,48,49,26.0843,-20.703799999999994,108.2188,-42.0927,15.7582,146,200,279,55.825799999999994,LTC,57.87,56.83,57.89,56.47,-1
1552262400.0,19,52,49,24.6085,-18.8408,118.37019999999998,-51.7332,15.1881,120,264,227,57.21659999999999,LTC,56.83,54.87,56.5,54.09,1
1552348800.0,24,42,41,22.3358,-17.053999999999995,141.7283,-45.4164,13.7742,178,277,296,87.54270000000002,LTC,54.87,56.66,56.89,53.27,-1
1552435200.0,19,37,43,19.8575,-14.142400000000002,122.2232,-33.402100000000004,12.730499999999996,116,221,254,81.50510000000004,LTC,56.66,55.5,56.63,54.88,1
1552521600.0,33,68,65,36.274499999999975,-22.011000000000006,212.97390000000007,-57.2227,25.320599999999995,189,410,431,144.95209999999992,LTC,55.5,56.01,57.33,54.57,1
1552608000.0,55,91,152,48.586499999999994,-46.69079999999998,273.5135,-110.58089999999996,25.2424,320,548,821,139.58960000000002,LTC,56.01,58.51,58.98,56.63,1
1552694400.0,20,43,47,20.890999999999995,-17.141800000000003,168.39130000000006,-55.9157,12.3459,151,331,369,103.95630000000007,LTC,58.51,61.49,63.02,59.96,-1
1552780800.0,11,31,26,16.7043,-10.1674,135.7311,-43.4862,11.6206,105,263,267,87.16120000000002,LTC,61.49,60.73,61.33,60.21,-1
1552867200.0,11,32,22,17.825499999999995,-11.3684,189.3475,-49.9237,12.1413,106,319,185,133.73959999999994,LTC,60.73,59.19,61.79,58.8,1
1552953600.0,16,36,36,20.1409,-15.1267,128.8914,-49.9942,12.3764,110,238,236,71.53499999999998,LTC,59.19,59.64,60.24,59.2,1
1553040000.0,30,55,64,27.9978,-26.990400000000008,143.92319999999995,-63.6667,14.530200000000002,173,289,375,66.92690000000006,LTC,59.64,60.53,60.93,58.34,-1
1553126400.0,14,39,26,20.123300000000004,-11.4662,95.52009999999994,-22.0847,14.3515,77,205,243,67.58619999999998,LTC,60.53,58.75,59.79,58.2,1
1553212800.0,18,28,28,12.940199999999995,-17.010200000000005,81.71399999999993,-42.8727,4.4351,112,186,185,30.336200000000005,LTC,58.75,59.45,59.53,58.37,1
1553299200.0,18,28,28,14.771300000000002,-13.5656,132.3959,-50.99830000000001,7.9885,155,233,222,74.61480000000003,LTC,59.45,60.95,61.51,59.31,-1
1553385600.0,14,23,28,10.335800000000004,-13.003999999999998,64.55259999999998,-42.8988,3.8596,103,138,194,15.2808,LTC,60.95,59.87,60.75,59.23,-1
1553472000.0,10,15,25,6.4746000000000015,-9.646999999999998,44.4303,-22.5519,1.6511,51,104,190,17.0549,LTC,59.87,58.87,59.54,57.89,-1
1553558400.0,18,32,25,15.1801,-16.1374,80.7547,-47.1405,7.094100000000001,129,188,186,25.4763,LTC,58.87,58.74,59.29,58.15,1
1553644800.0,11,37,31,16.8392,-8.497600000000002,152.19360000000003,-26.392000000000003,12.5904,76,362,254,121.55279999999996,LTC,58.74,61.54,61.82,60.2,-1
1553731200.0,12,22,31,12.280600000000005,-12.3516,98.4931,-26.4773,6.104800000000001,68,174,231,65.83999999999999,LTC,61.54,60.67,61.48,60.51,1
1553817600.0,15,37,28,21.1829,-15.406200000000002,139.2328,-26.5173,13.4798,67,229,212,105.01239999999994,LTC,60.67,61.55,62.08,60.97,-1
1553904000.0,12,29,30,13.3984,-9.261000000000001,73.99039999999995,-19.4052,8.767900000000001,72,149,208,49.954699999999974,LTC,61.55,60.58,61.65,60.58,1
1553990400.0,7,32,22,14.259699999999993,-5.121000000000001,88.17419999999998,-9.119799999999998,11.724999999999996,30,184,163,76.5455,LTC,60.58,60.62,60.79,60.17,-1
1554076800.0,13,27,27,12.453,-9.9484,70.17629999999997,-31.6276,7.4788,92,156,198,33.574499999999986,LTC,60.62,60.57,61.36,60.32,1
1554163200.0,126,246,286,124.1378999999998,-110.91799999999996,914.881300000001,-295.1493000000001,68.79179999999995,797,1781,1894,565.195000000001,LTC,60.57,77.58,78.51,68.5,1
1554249600.0,151,288,284,150.94329999999988,-138.92919999999987,1094.6463999999992,-400.5567,81.55899999999995,1001,2047,1787,624.9488999999999,LTC,77.58,85.7,94.01,77.93,-1
1554336000.0,30,84,68,42.0538,-25.293,323.8829000000002,-71.5752,29.433100000000003,186,597,483,239.7644,LTC,85.7,84.95,87.51,82.3,1
1554422400.0,18,58,31,35.078900000000004,-15.3934,269.9165999999999,-63.1633,27.3822,143,444,253,199.0566,LTC,84.95,88.93,90.24,86.91,1
1554508800.0,27,65,91,28.67370000000001,-23.432199999999995,197.90590000000003,-64.26480000000001,16.9576,182,437,682,121.925,LTC,88.93,92.5,95.43,86.98,-1
1554595200.0,16,42,49,20.8512,-12.612999999999998,167.71019999999996,-42.76020000000001,14.570499999999996,105,338,489,119.2627,LTC,92.5,92.06,96.48,91.12,-1
1554681600.0,15,45,50,19.866199999999992,-14.511599999999993,140.8772000000001,-65.56550000000001,12.586400000000005,157,328,359,67.53389999999996,LTC,92.06,89.58,94.5,88.57,-1
1554768000.0,27,34,34,17.666999999999994,-25.97199999999999,162.64399999999995,-103.0118,4.7096,229,307,272,46.70339999999999,LTC,89.58,86.97,89.51,84.73,1
1554854400.0,26,50,43,26.23089999999999,-21.50019999999999,234.8332000000001,-87.94559999999996,15.506599999999995,245,423,377,136.26649999999998,LTC,86.97,88.4,90.42,87.6,-1
1554940800.0,42,59,56,29.3926,-39.6472,187.25409999999988,-85.16030000000002,9.568999999999997,244,375,340,82.27020000000003,LTC,88.4,79.46,83.91,75.98,-1
1555027200.0,16,32,34,15.6744,-12.835200000000002,121.50269999999996,-37.47929999999999,9.234099999999998,108,246,240,77.17449999999997,LTC,79.46,78.97,80.64,77.85,-1
1555113600.0,10,28,32,13.972200000000004,-11.078400000000002,94.30620000000003,-38.7624,8.407200000000001,77,191,239,49.9014,LTC,78.97,78.14,80.88,76.67,1
1555200000.0,4,18,23,8.919500000000003,-2.4252,84.50219999999996,-9.0451,7.706900000000003,32,173,218,74.24449999999995,LTC,78.14,83.84,83.89,78.41,-1
1555286400.0,19,25,35,11.3214,-17.171,71.78729999999999,-47.52629999999999,2.708,117,151,200,15.464900000000005,LTC,83.84,78.28,82.41,75.76,1
1555372800.0,21,42,40,22.95360000000001,-16.791200000000007,160.73960000000002,-32.9252,14.158199999999995,113,290,263,119.81859999999996,LTC,78.28,80.85,82.05,80.12,-1
1555459200.0,27,60,38,34.925700000000006,-23.70460000000001,182.20700000000008,-55.1726,23.146100000000004,148,311,268,115.58079999999994,LTC,80.85,79.28,81.63,79.22,1
1555545600.0,23,46,53,22.61200000000001,-21.9046,131.14639999999997,-54.86140000000001,11.646800000000002,128,250,389,65.34559999999995,LTC,79.28,82.2,83.95,80.09,1
1555632000.0,1,30,38,13.854699999999998,-0.4336,108.56140000000003,-0.4336,13.637899999999998,3,228,339,107.91100000000004,LTC,82.2,82.61,83.56,81.34,-1
1555718400.0,7,27,15,14.237000000000005,-5.9636,140.32169999999996,-12.8843,11.2681,42,275,118,124.55879999999996,LTC,82.61,81.7,83.41,80.74,-1
1555804800.0,17,23,32,11.3758,-15.5326,68.1045,-50.0157,3.6418,130,137,225,10.774699999999996,LTC,81.7,77.3,81.6,75.02,-1
1555891200.0,15,21,26,10.7835,-12.281800000000004,77.41529999999999,-30.3089,4.642600000000002,104,139,203,40.96549999999999,LTC,77.3,76.98,79.14,76.66,-1
1555977600.0,25,54,36,25.600800000000014,-19.836399999999987,173.49470000000008,-79.36829999999998,15.706600000000002,202,352,264,84.30419999999995,LTC,76.98,74.28,79.32,74.11,-1
1556064000.0,27,43,51,20.9726,-22.1292,127.89450000000002,-64.7879,9.9578,176,255,246,52.4404,LTC,74.28,73.42,73.75,70.36,-1
1556150400.0,30,61,57,33.5322,-31.285199999999985,165.29610000000002,-55.4345,17.8037,133,306,323,93.78069999999997,LTC,73.42,71.04,71.92,69.08,1
1556236800.0,21,38,27,17.566599999999998,-20.6142,128.7749,-58.2381,7.2177000000000024,125,256,194,59.81169999999993,LTC,71.04,72.75,73.07,71.29,-1
1556323200.0,13,26,17,11.9668,-15.045200000000005,66.6718,-43.9561,4.4313,84,149,110,15.5285,LTC,72.75,71.17,72.74,70.91,-1
1556409600.0,24,50,34,23.9851,-22.55359999999999,108.0724999999999,-31.357899999999994,12.734100000000002,86,220,207,65.64419999999998,LTC,71.44,69.44,72.07,68.96,-1
1556496000.0,34,46,53,21.7329,-25.462200000000006,136.41869999999992,-61.166,8.976000000000003,183,261,258,62.44419999999996,LTC,69.44,67.78,69.25,66.89,1
1556582400.0,30,66,65,33.54089999999999,-28.5588,213.4393,-72.37540000000003,19.3255,169,424,332,126.93829999999996,LTC,67.78,74.64,74.86,69.24,-1
1556668800.0,12,32,33,17.007400000000004,-11.316000000000004,117.10289999999996,-32.9638,11.349399999999996,82,211,219,78.48109999999998,LTC,74.64,73.46,75.88,72.54,1
1556755200.0,9,32,35,18.0551,-7.1896,113.35889999999998,-15.801000000000002,14.4345,48,190,208,93.8857,LTC,73.46,73.76,75.47,72.94,1
1556841600.0,35,61,81,28.7419,-26.7844,119.56519999999985,-34.0883,15.349700000000007,129,249,427,72.08469999999993,LTC,73.76,78.99,80.26,73.87,-1
1556928000.0,8,15,18,7.1001,-7.617000000000003,35.00610000000001,-17.293599999999998,3.2916000000000003,43,76,91,13.904000000000005,LTC,78.99,77.97,82.35,77.09,-1
1557014400.0,19,30,25,13.9279,-18.126999999999992,67.2434,-17.214299999999998,4.8386,60,128,133,40.836599999999976,LTC,77.97,75.9,77.87,75.85,-1
